代號,名稱,現價,距低點(%),訊號類型,詳細,時間
2485,兆赫,21.5,117.17,突破新高,🚀 突破新高!,12:53
1795,美時,318.5,80.97,突破新高,🚀 突破新高!,12:51
6805,富世達,1560.0,315.45,突破新高,🚀 突破新高!,12:58
2530,華建,28.45,4.79,底部翻揚,🔥 底部翻揚! (4.8%),12:53
6412,群電,91.7,7.88,底部翻揚,🔥 底部翻揚! (7.9%),12:57
3679,新至陞,115.0,3.14,底部翻揚,🔥 底部翻揚! (3.1%),12:55
5007,三星,53.7,6.76,底部翻揚,🔥 底部翻揚! (6.8%),12:56
3051,力特,18.5,3.35,底部翻揚,🔥 底部翻揚! (3.4%),12:54
2845,遠東銀,12.65,7.66,底部翻揚,🔥 底部翻揚! (7.7%),12:54
2706,第一店,13.05,4.82,底部翻揚,🔥 底部翻揚! (4.8%),12:53
2642,宅配通,26.65,7.89,底部翻揚,🔥 底部翻揚! (7.9%),12:53
2504,國產,35.45,5.19,底部翻揚,🔥 底部翻揚! (5.2%),12:53
1218,泰山,18.2,1.39,底部翻揚,🔥 底部翻揚! (1.4%),12:49
2453,凌群,52.4,2.95,底部翻揚,🔥 底部翻揚! (2.9%),12:52
2395,研華,287.0,3.8,底部翻揚,🔥 底部翻揚! (3.8%),12:52
4306,炎洲,13.6,5.02,底部翻揚,🔥 底部翻揚! (5.0%),12:56
2377,微星,106.0,4.95,底部翻揚,🔥 底部翻揚! (5.0%),12:52
2247,汎德永業,294.5,9.07,底部翻揚,🔥 底部翻揚! (9.1%),12:51
2020,美亞,23.0,5.02,底部翻揚,🔥 底部翻揚! (5.0%),12:51
1730,花仙子,53.0,5.37,底部翻揚,🔥 底部翻揚! (5.4%),12:50
1702,南僑,37.9,2.16,底部翻揚,🔥 底部翻揚! (2.2%),12:50
1582,信錦,67.8,4.79,底部翻揚,🔥 底部翻揚! (4.8%),12:50
1540,喬福,21.75,4.57,底部翻揚,🔥 底部翻揚! (4.6%),12:50
1468,昶和,11.55,2.21,底部翻揚,🔥 底部翻揚! (2.2%),12:50
1467,南緯,6.99,0.43,底部翻揚,🔥 底部翻揚! (0.4%),12:50
1447,力鵬,5.38,1.7,底部翻揚,🔥 底部翻揚! (1.7%),12:49
6754,匯僑設計,46.6,1.08,底部翻揚,🔥 底部翻揚! (1.1%),12:58
1442,名軒,33.1,7.47,底部翻揚,🔥 底部翻揚! (7.5%),12:49
6641,基士德-KY,19.6,2.08,低檔盤整,🟢 低檔盤整 (2.1%),12:58
5876,上海商銀,39.15,0.0,低檔盤整,🟢 低檔盤整 (0.0%),12:57
5538,東明-KY,29.1,3.01,低檔盤整,🟢 低檔盤整 (3.0%),12:57
4927,泰鼎-KY,20.6,3.78,低檔盤整,🟢 低檔盤整 (3.8%),12:56
4904,遠傳,88.7,9.91,低檔盤整,🟢 低檔盤整 (9.9%),12:56
1338,廣華-KY,20.3,1.5,低檔盤整,🟢 低檔盤整 (1.5%),12:49
4190,佐登-KY,30.4,0.0,低檔盤整,🟢 低檔盤整 (0.0%),12:56
3576,聯合再生,6.21,3.5,低檔盤整,🟢 低檔盤整 (3.5%),12:55
3308,聯德,14.5,1.05,低檔盤整,🟢 低檔盤整 (1.0%),12:55
2701,萬企,11.15,4.69,低檔盤整,🟢 低檔盤整 (4.7%),12:53
1441,大東,10.7,0.0,低檔盤整,🟢 低檔盤整 (0.0%),12:49
2353,宏碁,27.25,0.74,低檔盤整,🟢 低檔盤整 (0.7%),12:52
1315,達新,64.7,1.41,低檔盤整,🟢 低檔盤整 (1.4%),12:49
1444,力麗,6.02,0.5,低檔盤整,🟢 低檔盤整 (0.5%),12:49
1201,味全,14.85,0.34,低檔盤整,🟢 低檔盤整 (0.3%),12:49
